gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1699574_nrp1	1970.9664516129033	1919.6433333333334	-0.03806493465332619	0.6842991725564003	Downregulated	Not significant
ilmn_1785324_mthfd1	242.81645161290322	230.60750000000002	-0.07442673801230408	0.54459972226344	Downregulated	Not significant
ilmn_1657857_tmem14c	78.1183870967742	72.03833333333333	-0.11689735865662976	0.10110564282447841	Downregulated	Not significant
ilmn_1688642_lamc3	143.21983870967742	138.11583333333334	-0.052352630670504795	0.3372781710102798	Downregulated	Not significant
ilmn_1686731_ptpn2	91.24129032258064	106.24166666666666	0.21959092994604765	0.08285035653633835	Upregulated	Not significant
ilmn_1792472_pcdh17	143.22016129032258	138.11583333333334	-0.05235588011539426	0.33724749871534765	Downregulated	Not significant
ilmn_1699960_trpv4	253.03274193548387	250.9025	-0.012197233003545489	0.8561563696949195	Downregulated	Not significant
ilmn_1751963_zcwpw1	914.7675806451613	925.535	0.016882310477622772	0.8768919672684007	Upregulated	Not significant
ilmn_1739103_mpzl1	242.81645161290322	230.59416666666667	-0.07451015459673625	0.5441619295659494	Downregulated	Not significant
ilmn_1744513_mpzl1	384.2837096774194	383.9141666666667	-0.0013880223482782793	0.9828103420169803	Downregulated	Not significant
ilmn_1789283_ppp2r5c	75.37209677419355	75.0525	-0.006130398683251357	0.9215340785257182	Downregulated	Not significant
ilmn_1723846_fam119b	73.55225806451612	72.975	-0.011367327370142578	0.8360375438701055	Downregulated	Not significant
ilmn_1718832_sphar	260.3354838709677	268.61583333333334	0.04517238043265975	0.6336171369520549	Upregulated	Not significant
ilmn_1742221_mef2b	154.05129032258066	156.185	0.019845137431302166	0.7544749062267093	Upregulated	Not significant
ilmn_1745813_kiaa1279	106.69564516129032	102.5425	-0.05727931663277178	0.3008285303705954	Downregulated	Not significant
ilmn_1726575_chodl	914.768064516129	925.535	0.01688154735693958	0.8768974721431881	Upregulated	Not significant
ilmn_1728799_fbp1	911.101935483871	952.8883333333333	0.06469468412257233	0.42033819960809293	Upregulated	Not significant
ilmn_1675359_nkap	276.475	284.7158333333333	0.04237369305772039	0.4461136179527495	Upregulated	Not significant
ilmn_1693004_c20orf117	73.54693548387097	72.975	-0.011262923525095956	0.837562244783792	Downregulated	Not significant
ilmn_1743646_vasp	160.4541935483871	153.54583333333332	-0.06349213221766559	0.3155366509636441	Downregulated	Not significant
ilmn_1689518_pecam1	160.4432258064516	153.54583333333332	-0.06339351436690153	0.31628536523242756	Downregulated	Not significant
